name,abbr,matchWin,matchLoss,matchDraw,gameWin,gameLoss,gameTie,dpsK/D,dpsUlt/10mins,dpsHeroDamage/10mins,dpsFinalBlows/10mins,tankK/D,tankUlt/10mins,tankHeroDamage/10mins,tankFinalBlows/10mins,supportHealing,supportUlt/10mins
Vancouver Titans,VAN,25,3,0,89,28,0,3.8006184342170615,4.543488112057631,7648.8346375533265,6.246527710885994,3.950239282034123,3.487791817939157,7086.078690105176,5.47510396666828,8592.92244105553,4.591871398490109
San Francisco Shock,SFS,23,5,0,92,26,0,3.8800520370108624,4.883589710877175,8228.577586209312,7.0180326845874355,3.9896796296608152,3.8463043812689754,6966.82001962567,5.712993956106672,8540.21207940692,4.352291975231951
New York Excelsior,NYE,22,6,0,78,38,3,4.355263578618118,4.229655558614793,6777.4736352137015,5.827424905656257,3.145348837209302,4.194846811409308,6858.0373769050175,5.597176208566399,7619.15377975774,4.213764860252276
Hangzhou Spark,HZS,18,10,0,64,52,4,3.311928662991683,4.276457451316416,6480.870108030194,4.833691887969149,3.056842250469541,3.6281159769354887,6494.80757652649,4.8902822632355445,7510.315095591196,4.024655029147087
Los Angeles Gladiators,GLA,17,11,0,67,48,3,3.7531709308924213,4.41098282199113,8376.912311986474,6.6793702030626125,5.232479964651788,3.038878271252278,6377.437619808425,5.488575224731118,9677.239486054692,4.981168686460411
Atlanta Reign,ATL,16,12,0,69,50,1,3.296059221413899,4.414927601352297,7131.983464023323,5.389432756937804,3.3271132777556973,3.6021356680510657,6544.41620515457,5.19789170339023,6956.667125379997,3.993398574795212
London Spitfire,LDN,16,12,0,58,52,6,4.244897959183674,4.61808804673255,8591.855488998663,6.359334359434986,3.5907995232319667,3.7517631370390654,6581.717942149951,5.687184830188729,8481.10309635471,4.366616155978616
Seoul Dynasty,SEO,15,13,0,64,50,3,3.517020763940402,4.328164177550932,7951.158827500156,5.721777620040956,4.573334830371833,3.1486438494251847,6787.13364895502,5.532112018044778,7604.5419495160595,3.9766285146002858
Guangzhou Charge,GZC,15,13,0,61,57,1,3.890316769710132,4.147759730690762,7294.343027267506,6.028552598704015,3.3952998968622774,3.1784610314024997,6215.906195893208,6.755141528583351,6987.613590198016,3.953213586768752
Philadelphia Fusion,PHI,15,13,0,57,60,3,2.5634951906867856,3.5306105025345937,6525.653073166681,4.973049484102916,3.1557679086448447,3.715392456610485,6294.932440347112,4.873241411291721,9251.731157941926,4.7652469971899585
Shanghai Dragons,SHD,13,15,0,51,61,3,3.424817247389301,4.139348074112939,8514.298470970843,7.071310553905116,3.3043991416080765,3.5251623636010696,6535.871090230175,5.543608382086279,8302.498721357968,4.232563199897428
Chengdu Hunters,CDH,13,15,0,55,66,1,2.560882403399626,4.357934461744315,7737.11644559808,6.4865644440728945,2.7791359559120035,4.027765054085197,7255.776248699891,4.842459596596507,7330.127273774314,3.8752919053999206
Los Angeles Valiant,VAL,12,16,0,56,61,4,3.063044646938815,4.16204110740882,7617.6010158394565,6.510294716847962,3.063044646938815,4.16204110740882,7617.6010158394565,6.510294716847962,6896.477806383284,3.526259417829433
Paris Eternal,PAR,11,17,0,46,67,3,2.916743857591083,4.457112088369675,6890.521094876475,5.286928753533701,2.0368098159509205,4.201146507351837,6648.912608389578,4.026098736212177,8583.654512062736,4.375022181217359
Dallas Fuel,DAL,10,18,0,43,70,3,2.853806493556927,4.45347923211077,7426.634212623782,5.547313573537276,2.270786253105185,3.2256529846766298,5684.357277544411,4.6829486004779195,8835.246745246577,4.18434300461053
Houston Outlaws,HOU,9,19,0,47,69,3,2.901401457043299,4.259870460605211,6414.869057229806,5.4620019510593165,2.963638446258069,3.9170286204010343,6830.4137749141455,4.906291061820657,7033.967955171825,3.7229958164251538
Toronto Defiant,TOR,8,20,0,39,72,4,2.6064014434129015,4.2666921739400285,8182.669038135832,6.889007389099466,2.6064014434129015,4.2666921739400285,8182.669038135832,6.889007389099466,7429.826607795145,3.8443413792520267
Washington Justice,WAS,8,20,0,39,72,6,2.933912737526509,4.196640278581687,7761.812454119141,6.3429577796515675,2.69815668202765,4.1663148078052785,7043.652963356903,4.841048180767453,6825.268612978261,3.5189433896064886
Boston Uprising,BOS,8,20,0,41,78,2,2.6855036855036856,3.9668163634089586,8649.81290776422,5.752565310510586,2.110797395499163,3.746414352605826,6844.613567273256,3.929563311570046,168.8703742460548,3.9668163634089586
Florida Mayhem,FLA,6,22,0,36,75,5,2.8976556804459874,4.293726768052684,7344.93223374166,5.520226915482745,3.049932772477165,3.1062808366436343,5528.456864300325,3.7542865118487434,6928.663088337178,3.4168571515772754
